# tau_us,P_x
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000104e-03,9.999999999669622053e-01
1.000000000000000021e-02,9.999999984970828759e-01
1.499999999999999944e-02,9.999999908869909859e-01
2.000000000000000042e-02,9.999999825768026707e-01
2.500000000000000139e-02,9.999999920158515465e-01
2.999999999999999889e-02,9.999999865442656954e-01
3.500000000000000333e-02,9.999998502345783802e-01
4.000000000000000083e-02,9.999995588976360317e-01
4.499999999999999833e-02,9.999993775218032344e-01
5.000000000000000278e-02,9.999995869823969930e-01
5.500000000000000028e-02,9.999998420395944665e-01
5.999999999999999778e-02,9.999992150066326912e-01
6.500000000000000222e-02,9.999974687157910935e-01
7.000000000000000666e-02,9.999960380386583303e-01
7.499999999999999722e-02,9.999966175304737526e-01
8.000000000000000167e-02,9.999983034448194363e-01
8.500000000000000611e-02,9.999974929961621406e-01
8.999999999999999667e-02,9.999923662425460602e-01
9.500000000000000111e-02,9.999868296343673579e-01
1.000000000000000056e-01,9.999869774001823863e-01
1.049999999999999961e-01,9.999921712682486863e-01
1.100000000000000006e-01,9.999927996603569236e-01
1.150000000000000050e-01,9.999815090962775876e-01
1.199999999999999956e-01,9.999659289198573608e-01
1.250000000000000000e-01,9.999631632375149959e-01
1.300000000000000044e-01,9.999768025818948081e-01
1.350000000000000089e-01,9.999851891230273626e-01
1.400000000000000133e-01,9.999641029927006652e-01
1.449999999999999900e-01,9.999230692030047773e-01
1.499999999999999944e-01,9.999050138830657408e-01
1.549999999999999989e-01,9.999348920732153978e-01
1.600000000000000033e-01,9.999745315478236751e-01
1.650000000000000078e-01,9.999537250183639925e-01
1.700000000000000122e-01,9.998607414522150405e-01
1.750000000000000167e-01,9.997816760338840147e-01
1.799999999999999933e-01,9.998127383586854489e-01
1.849999999999999978e-01,9.999264125960000138e-01
1.900000000000000022e-01,9.999663605060050697e-01
1.950000000000000067e-01,9.998218806321024221e-01
2.000000000000000111e-01,9.995962593749674330e-01
2.050000000000000155e-01,9.995327517603673773e-01
2.099999999999999922e-01,9.997253261937999458e-01
2.149999999999999967e-01,9.999458047394496063e-01
2.200000000000000011e-01,9.998569274379760508e-01
2.250000000000000056e-01,9.994330313010768574e-01
2.300000000000000100e-01,9.990787109473500127e-01
2.350000000000000144e-01,9.992048171468375095e-01
2.399999999999999911e-01,9.996862055528472624e-01
2.449999999999999956e-01,9.998912973748814714e-01
2.500000000000000000e-01,9.993870685992071179e-01
2.550000000000000044e-01,9.985535197793354856e-01
2.600000000000000089e-01,9.982725810907031594e-01
2.650000000000000133e-01,9.988850020093755777e-01
2.700000000000000178e-01,9.996224456697728744e-01
2.750000000000000222e-01,9.993656858344216465e-01
2.800000000000000266e-01,9.980337586061718280e-01
2.850000000000000311e-01,9.969166937073519197e-01
2.899999999999999800e-01,9.972625614272840888e-01
2.949999999999999845e-01,9.986080699277496420e-01
2.999999999999999889e-01,9.990124032804281740e-01
3.049999999999999933e-01,9.973029052546807938e-01
3.099999999999999978e-01,9.948355382882074771e-01
3.150000000000000022e-01,9.942700618704563009e-01
3.200000000000000067e-01,9.962330588530707853e-01
3.250000000000000111e-01,9.979146047085836191e-01
3.300000000000000155e-01,9.959672818033140640e-01
3.350000000000000200e-01,9.909402415764038130e-01
3.400000000000000244e-01,9.877637003264881921e-01
3.450000000000000289e-01,9.902156096774600291e-01
3.500000000000000333e-01,9.950955361385815934e-01
3.549999999999999822e-01,9.942192960044873296e-01
3.599999999999999867e-01,9.837786142786946186e-01
3.649999999999999911e-01,9.712970484675189642e-01
3.699999999999999956e-01,9.700029599581148076e-01
3.750000000000000000e-01,9.823417852594398259e-01
3.800000000000000044e-01,9.914816833407562591e-01
3.850000000000000089e-01,9.748529845884932321e-01
3.900000000000000133e-01,9.295926671487283466e-01
3.950000000000000178e-01,8.861585153577186125e-01
4.000000000000000222e-01,8.837371840370400466e-01
4.050000000000000266e-01,9.178923789805540912e-01
4.100000000000000311e-01,9.293836400098347550e-01
4.150000000000000355e-01,8.475093882618176533e-01
4.199999999999999845e-01,6.325675868176749983e-01
4.249999999999999889e-01,3.339065395471896291e-01
4.299999999999999933e-01,1.354437119206855500e-01
4.349999999999999978e-01,1.937545162850660696e-01
4.400000000000000022e-01,4.021712951256164459e-01
4.450000000000000067e-01,5.626420220983656684e-01
4.500000000000000111e-01,6.574332828658421279e-01
4.550000000000000155e-01,7.373300138618177346e-01
4.600000000000000200e-01,7.827799833407969032e-01
4.650000000000000244e-01,7.792667105686439388e-01
4.700000000000000289e-01,7.734096456775845230e-01
4.750000000000000333e-01,7.339721092030304650e-01
4.799999999999999822e-01,5.679922007825521924e-01
4.849999999999999867e-01,3.351891243454613312e-01
4.899999999999999911e-01,1.911590082813527935e-01
4.949999999999999956e-01,1.886256328020304296e-01
5.000000000000000000e-01,2.976112669447152914e-01
5.050000000000000044e-01,5.058890864246469166e-01
5.100000000000000089e-01,7.536792494835562461e-01
5.150000000000000133e-01,9.194809687148994826e-01
5.200000000000000178e-01,9.587074828278765448e-01
5.250000000000000222e-01,9.313090673109025719e-01
5.300000000000000266e-01,9.030573150559135787e-01
5.350000000000000311e-01,9.009182017419004040e-01
5.400000000000000355e-01,9.229019421455595396e-01
5.450000000000000400e-01,9.479251713077214703e-01
5.500000000000000444e-01,9.615716456571086201e-01
5.550000000000000488e-01,9.670466700870912202e-01
5.600000000000000533e-01,9.671605772264585399e-01
5.650000000000000577e-01,9.616997762164878338e-01
5.700000000000000622e-01,9.561434207937462570e-01
5.750000000000000666e-01,9.574019745223840694e-01
5.799999999999999600e-01,9.681787968207904438e-01
5.849999999999999645e-01,9.826564828002939400e-01
5.899999999999999689e-01,9.875214841095679708e-01
5.949999999999999734e-01,9.776017412568618337e-01
5.999999999999999778e-01,9.642479459699559996e-01
6.049999999999999822e-01,9.626561861828786260e-01
6.099999999999999867e-01,9.763917663404247937e-01
6.149999999999999911e-01,9.927474385508152643e-01
6.199999999999999956e-01,9.946638477588751748e-01
6.250000000000000000e-01,9.807049577141428998e-01
6.300000000000000044e-01,9.669668692847309677e-01
6.350000000000000089e-01,9.687145113518667028e-01
6.400000000000000133e-01,9.846570101704013034e-01
6.450000000000000178e-01,9.981141578921577384e-01
6.500000000000000222e-01,9.949415545754696222e-01
6.550000000000000266e-01,9.797883545647385617e-01
6.600000000000000311e-01,9.700056908709042691e-01
6.650000000000000355e-01,9.760645381331332082e-01
6.700000000000000400e-01,9.911533668172803901e-01
6.750000000000000444e-01,9.989307587052251858e-01
6.800000000000000488e-01,9.917727440103488723e-01
6.850000000000000533e-01,9.789736244926674491e-01
6.900000000000000577e-01,9.749873042432002368e-01
6.950000000000000622e-01,9.834589666328907853e-01
7.000000000000000666e-01,9.944820540937120423e-01
7.049999999999999600e-01,9.961661577060929584e-01
7.099999999999999645e-01,9.879614709514968895e-01
7.149999999999999689e-01,9.802681362952635480e-01
7.199999999999999734e-01,9.814863182045261425e-01
7.249999999999999778e-01,9.891922818004688089e-01
7.299999999999999822e-01,9.942421920748942821e-01
7.349999999999999867e-01,9.915897307848562381e-01
7.399999999999999911e-01,9.856559967007698653e-01
7.449999999999999956e-01,9.840371749012732927e-01
7.500000000000000000e-01,9.880108167992163182e-01
7.550000000000000044e-01,9.920032932362476963e-01
7.600000000000000089e-01,9.911814649264105714e-01
7.650000000000000133e-01,9.872495885167128504e-01
7.700000000000000178e-01,9.859664589231997844e-01
7.750000000000000222e-01,9.893563282722175334e-01
7.800000000000000266e-01,9.928760010835613325e-01
7.850000000000000311e-01,9.916184518034296680e-01
7.900000000000000355e-01,9.868887811617074179e-01
7.950000000000000400e-01,9.848068501418679732e-01
8.000000000000000444e-01,9.887851053062977069e-01
8.050000000000000488e-01,9.945878875075697678e-01
8.100000000000000533e-01,9.949518002933477323e-01
8.150000000000000577e-01,9.888375495825230121e-01
8.200000000000000622e-01,9.831929173066213945e-01
8.250000000000000666e-01,9.850173515576712280e-01
8.300000000000000711e-01,9.929690262836303738e-01
8.349999999999999645e-01,9.980979525660773621e-01
8.399999999999999689e-01,9.941055965466949473e-01
8.449999999999999734e-01,9.852160663588811484e-01
8.499999999999999778e-01,9.815135785448718675e-01
8.549999999999999822e-01,9.874774267795727312e-01
8.599999999999999867e-01,9.966696825305831897e-01
8.649999999999999911e-01,9.985990177745788232e-01
8.699999999999999956e-01,9.908936438211999320e-01
8.750000000000000000e-01,9.822724235034376861e-01
8.800000000000000044e-01,9.824773421663335338e-01
8.850000000000000089e-01,9.913596851193904325e-01
8.900000000000000133e-01,9.990232460571573103e-01
8.950000000000000178e-01,9.968687742436006527e-01
9.000000000000000222e-01,9.875275408829768953e-01
9.050000000000000266e-01,9.816380005919993490e-01
9.100000000000000311e-01,9.855307933287642541e-01
9.150000000000000355e-01,9.944980551181220596e-01
9.200000000000000400e-01,9.983641764896595827e-01
9.250000000000000444e-01,9.930484775015271381e-01
9.300000000000000488e-01,9.850856113813708514e-01
9.350000000000000533e-01,9.835051117236900398e-01
9.400000000000000577e-01,9.894617164187768932e-01
9.450000000000000622e-01,9.956603563360983955e-01
9.500000000000000666e-01,9.950513132174088060e-01
9.550000000000000711e-01,9.889267535293442268e-01
9.599999999999999645e-01,9.849352679899057161e-01
9.649999999999999689e-01,9.874221618412959423e-01
9.699999999999999734e-01,9.926205229364533089e-01
9.749999999999999778e-01,9.938221960408153421e-01
9.799999999999999822e-01,9.895370784610026949e-01
9.849999999999999867e-01,9.852499864667778606e-01
9.899999999999999911e-01,9.863671580626343083e-01
9.949999999999999956e-01,9.912498217383511889e-01
1.000000000000000000e+00,9.935337832492379118e-01
1.005000000000000115e+00,9.902274813986755575e-01
1.010000000000000009e+00,9.855400653045857107e-01
1.015000000000000124e+00,9.857986143972710114e-01
1.020000000000000018e+00,9.911097668086370494e-01
1.024999999999999911e+00,9.946893529961161606e-01
1.030000000000000027e+00,9.913703818464179029e-01
1.034999999999999920e+00,9.844370332804329715e-01
1.040000000000000036e+00,9.822372216805891343e-01
1.044999999999999929e+00,9.881318331575748015e-01
1.050000000000000044e+00,9.955315844217906829e-01
1.054999999999999938e+00,9.951274326546675209e-01
1.060000000000000053e+00,9.863888771192541594e-01
1.064999999999999947e+00,9.789702963121830193e-01
1.070000000000000062e+00,9.817833851853309257e-01
1.074999999999999956e+00,9.921997075129820320e-01
1.080000000000000071e+00,9.981263018094967965e-01
1.084999999999999964e+00,9.918427677328103265e-01
1.090000000000000080e+00,9.797630033925134319e-01
1.094999999999999973e+00,9.755277307163998657e-01
1.100000000000000089e+00,9.842409684284083582e-01
1.104999999999999982e+00,9.961119195375250923e-01
1.110000000000000098e+00,9.969719645823527099e-01
1.114999999999999991e+00,9.849165351500785981e-01
1.120000000000000107e+00,9.733084452056008917e-01
1.125000000000000000e+00,9.752882794705413083e-01
1.130000000000000115e+00,9.884817491176517423e-01
1.135000000000000009e+00,9.973309970092687493e-01
1.140000000000000124e+00,9.906072174877035286e-01
1.145000000000000018e+00,9.752850706020655958e-01
1.150000000000000133e+00,9.688535827214003193e-01
1.155000000000000027e+00,9.783747205742103770e-01
1.159999999999999920e+00,9.921691750930613507e-01
1.165000000000000036e+00,9.928721563858726729e-01
1.169999999999999929e+00,9.779087532384748149e-01
1.175000000000000044e+00,9.640919792198909821e-01
1.179999999999999938e+00,9.675651168242340727e-01
1.185000000000000053e+00,9.836057989241457911e-01
1.189999999999999947e+00,9.915211149347553654e-01
1.195000000000000062e+00,9.783339359553371306e-01
1.199999999999999956e+00,9.562505737057378497e-01
1.205000000000000071e+00,9.508847267283595528e-01
